,publishedAt,title,words,description,url,primaryCategory
0,2020-07-13T06:00:34.000Z,CFTC to develop a holistic framework for digital currencies by 2024,412,"The CFTC has unveiled its strategic plan for 2020-2024. The plan includes creating a holistic framework to promote responsible innovation in digital assets. [...]
",https://cryptocontrol.io/r/api/article/5f0bfe6e0b40f10019087a9b?ref=5f0df53922ee0f001886f52c,Analysis
1,2020-07-13T11:11:22.000Z,Bitcoin (BTC) Volatility Drops as Market Takes a Breath,402,"For the past four days, Bitcoin has remained above $9,200 as a result of its weakness to resume upside range trading. In recent times, its volatility has dropped; this in effect has contributed to a massive surge of the altcoins in the last two months. Whenever Bitcoin is calm the altcoins will…",https://cryptocontrol.io/r/api/article/5f0c4bb40b40f100190abac9?ref=5f0df53922ee0f001886f52c,Analysis
2,2020-07-13T18:49:00.000Z,"Price Analysis 7/13: BTC, ETH, XRP, BCH, ADA, BSV, BNB, LTC, CRO, LINK",1585,"Equities markets are surging and many altcoins continue to push higher as Bitcoin price consolidates into a tight trading range.
The Nasdaq has regularly been making new highs for the past few days, which has resulted in a strong rally in a few technology companies. Along with this, a few stocks in…",https://cryptocontrol.io/r/api/article/5f0cc55f0b40f100190eeff1?ref=5f0df53922ee0f001886f52c,Analysis
3,2020-07-13T21:00:16.000Z,Bitcoin SV short-term price analysis: 13 July,396,"Bitcoin SV, the persistent hardfork of a hardfork of Bitcoin has now become a mainstay in the top-10 coins in the cryptocurrency market. Currently placed on the eighth spot with a market capitalizatio
",https://cryptocontrol.io/r/api/article/5f0cd3e70b40f100190f472d?ref=5f0df53922ee0f001886f52c,Analysis
4,2020-07-13T20:00:12.000Z,It’s Now Or Never For XRP As Technical Indicators Highlight Pivotal Moment,375,"XRP, the fourth-ranked cryptocurrency in the space, has been among the industry’s worst performers. Yet investors in the asset still hold out hope for a repeat of the massive pumps Ripple is known for. Key indicators reveal that the asset has reached a pivotal moment where a decision must be made.…",https://cryptocontrol.io/r/api/article/5f0cc5ab0b40f100190ef026?ref=5f0df53922ee0f001886f52c,Analysis
5,2020-07-13T19:15:36.000Z,Chainlink (LINK) Price Printed a Rally of Over 30% to Reach New All-Time...,377,"Where the leading digital asset Bitcoin is struggling for a bullish rally, the altcoin Chainlink has recorded an outshining performance in the span of the last twenty-four hours which led the coin to enroll itself in the list of top ten cryptocurrencies by market capitalization but only for a…",https://cryptocontrol.io/r/api/article/5f0cc4b00b40f100190eefaa?ref=5f0df53922ee0f001886f52c,Analysis
6,2020-07-13T19:00:37.000Z,Ethereum long-term price analysis: 13 July,361,"Taking a leaf from the Bitcoin playbook, Ethereum, the largest altcoin in the market has been playing stable. Since the end of May, the latter has been trading sideways, going through Q2 2020 riding a
",https://cryptocontrol.io/r/api/article/5f0cb87d0b40f100190e8cc5?ref=5f0df53922ee0f001886f52c,Analysis
7,2020-07-13T10:15:05.000Z,Bitcoin Miner Death Spiral Cancelled as Hash Rate Sets New All Time High,565,"Following the Bitcoin halving, concerns over miner capitulation have proven unfounded. The week just gone saw the network hash rate reach a new all-time high of 125 million TH/s. Source: blockchain.com Significant pullbacks occurred in March and May, sparking fears of the beginning of a miner’s…",https://cryptocontrol.io/r/api/article/5f0c40510b40f100190a5e82?ref=5f0df53922ee0f001886f52c,Analysis
8,2020-07-13T18:30:21.000Z,The Bitcoin Dominance Rate Could Rally Before Dropping,229,"The Bitcoin Dominance Rate (BTCD) has been decreasing at an accelerated rate since the beginning of July. The decrease should continue until the rate reaches the closest support area at 62.5%. Current Support At the beginning of July, the BTCD broke down from a rising support line that had…",https://cryptocontrol.io/r/api/article/5f0cbce50b40f100190ea665?ref=5f0df53922ee0f001886f52c,Analysis
9,2020-07-13T18:00:45.000Z,XRP short-term price analysis: 13 July,415,"XRP, now the fourth largest altcoin in the market has not had the best few months. In the recently concluded Q2 2020, the altcoin saw a quarterly price gain of less than 2 percent, its market dominanc
",https://cryptocontrol.io/r/api/article/5f0cb8840b40f100190e8cdb?ref=5f0df53922ee0f001886f52c,Analysis
10,2020-07-13T09:06:00.000Z,"Stocks, Greed and Exuberance: 5 Things to Watch in Bitcoin This Week",919,"Bitcoin price remains stable above $9,000 as data increasingly points to irrationally optimistic behavior on correlated stock markets.
Bitcoin ( BTC ) begins Monday by avoiding another test of $9,000, but what could happen to change the mood or even set off a bull run?
Cointelegraph takes a look at…",https://cryptocontrol.io/r/api/article/5f0c3ff60b40f100190a5e5f?ref=5f0df53922ee0f001886f52c,Analysis
11,2020-07-13T17:16:53.000Z,XTZ Price Analysis: Bullish Scenario Reinforces Fresh ATH on XTZ/USD Beyond $3.0 Over Indications of New Altseason,477,"Massive Altcoin price spikes typically occur when Bitcoin remains stable. Tezos registered an outstanding bull run after the market implosion in March which saw its prices skyrocket. Within the present market day, the token of the smart contract increased from a low of $2.72 to an intraday high of…",https://cryptocontrol.io/r/api/article/5f0ca26a0b40f100190dd64e?ref=5f0df53922ee0f001886f52c,Analysis
12,2020-07-13T16:32:00.000Z,"Fiat Failures, Inflation to Fuel 'Fear-Driven' Bitcoin Rally - Crypto Insiders",556,"Fiat failures and widespread inflation stemming from skyrocketing public debt could pave the way for bitcoin (BTC) to enter the mainstream in the next one to two years, say prominent crypto industry players. Speaking in a recent panel at Real Vision’s The Crypto Gathering event, Nic Carter, a…",https://cryptocontrol.io/r/api/article/5f0ca6010b40f100190dfd60?ref=5f0df53922ee0f001886f52c,Analysis
13,2020-07-13T16:30:22.000Z,"Ripple price spikes, will buyers clear $0.25?",367,"The Ripple price is–after days and weeks of consolidation, one of the top performers gauged by last week’s activity. Adding a ballpark 12 percent against both USD and BTC, momentum appears to be shifting. Pumping buyers’ expectations are supportive news released throughout last week. One Pay FX…",https://cryptocontrol.io/r/api/article/5f0ca4590b40f100190de6bd?ref=5f0df53922ee0f001886f52c,Analysis
14,2020-07-13T16:21:07.000Z,"LINK, ADA, XTZ Biggest Gainers Of The Latest Altcoin Rally",310,"Prominent altcoin, Chainlink [LINK] had been in the news all week following a significant increase in its price. Earlier today, the coin hit an all-time high which further fueled the popularity of the coin. Along with this, Cardano [ADA] and Tezos [XTZ] was also seen outperforming several other…",https://cryptocontrol.io/r/api/article/5f0c91bc0b40f100190d3f54?ref=5f0df53922ee0f001886f52c,Analysis
15,2020-07-13T15:42:37.000Z,"Bitcoin Price Prediction: BTC/USD Touches $9,211; May Likely Bounce Back from $9,200",315,"Bitcoin (BTC) Price Prediction – July 13 BTC/USD price is slowly approaching crucial supports and the bears need to be very careful once the price [...]
",https://cryptocontrol.io/r/api/article/5f0c8bb90b40f100190cfe12?ref=5f0df53922ee0f001886f52c,Analysis
16,2020-07-13T15:00:02.000Z,Stock Market Sell Trigger Could Drag Bitcoin Down Later This Month,570,"Bitcoin continues to trade sideways, but also has been unable to shake an ongoing correlation with the stock market.  If the cryptocurrency doesn’t break out soon and break free from the shackles of the S&P 500, it could drag Bitcoin down at the end of the month. Is Bitcoin Waiting For The Stock…",https://cryptocontrol.io/r/api/article/5f0c90720b40f100190d2f11?ref=5f0df53922ee0f001886f52c,Analysis
17,2020-07-13T14:27:28.000Z,Cardano (ADA) Work Well Done for Price to Automate Expectation of an Economic Crisis Mounting,434,"Catch up on the latest crypto market news at The Currency Analytics.
While there have already been repeat reports about a particular scam, instead of going away, the scammers seem to be…
",https://cryptocontrol.io/r/api/article/5f0c8aa70b40f100190cfdf8?ref=5f0df53922ee0f001886f52c,Analysis
18,2020-07-13T14:09:21.000Z,"Crypto Market Sentiment Improves, Is Highest In A Month",657,"Crypto market sentiment is soaring as its combined moving 7-day average sentscore for the top 10 coins is reaching new short-term highs near the positive zone - a move not seen since the beginning of summer. This week, it stands at 5.77/10, compared with the last week’s neutral score of 4.94, and…",https://cryptocontrol.io/r/api/article/5f0c6e9d0b40f100190bfcb5?ref=5f0df53922ee0f001886f52c,Analysis
19,2020-07-13T14:18:05.000Z,Ripple's XRP Integration Boosts Shopping at Uquid Digital...,475,The recently launched online marketplace Uquid Digital praised the XRP infrastructure for its instant transactions and scalability features.,https://cryptocontrol.io/r/api/article/5f0c82d30b40f100190cbb22?ref=5f0df53922ee0f001886f52c,Analysis
20,2020-07-13T13:57:15.000Z,"Ripple Price Analysis: Following 10% Weekly Gains, XRP Bulls Battling to Defend An Important Support",525,"After gaining almost 10% over the past week, XRP bulls are currently battling to defend the important support at $0.20.
",https://cryptocontrol.io/r/api/article/5f0c6fd20b40f100190bfccb?ref=5f0df53922ee0f001886f52c,Analysis
21,2020-07-13T13:00:28.000Z,"Dash, EOS, Bitcoin Cash Price Analysis: 13 July",468,"It would be inaccurate to suggest that contrary to popular expectations, all altcoins defied the trend to note gains while Bitcoin struggled to do so on the charts. Not all alts. While the likes of Te
",https://cryptocontrol.io/r/api/article/5f0c66c30b40f100190bb9f8?ref=5f0df53922ee0f001886f52c,Analysis
22,2020-07-13T12:52:46.000Z,Vegas Blackjack Pro Claims XRP Is The Crypto To Watch,441,"Steve Wynn is a man well known in the Vegas gambling scene. He was on one of the MIT blackjack teams that managed to profit [...]
",https://cryptocontrol.io/r/api/article/5f0c5f4b0b40f100190b6bb4?ref=5f0df53922ee0f001886f52c,Analysis
23,2020-07-13T12:07:56.000Z,New historical high for the price of Chainlink,527,"This morning the $8.00 threshold was exceeded, although it later fell below this level",https://cryptocontrol.io/r/api/article/5f0c60430b40f100190b7bfb?ref=5f0df53922ee0f001886f52c,Analysis
24,2020-07-13T12:14:17.000Z,Incredible Rally Brings Chainlink Into Top Ten. What is Next for LINK?,552,"Chainlink has continued its tremendous rise in the crypto markets with its native token LINK surging into the top ten coin ranking based on Market cap. After a long pause in its up growth with stability around $4, just like majority of coins in the market, Chainlink has resumed on the upside trend…",https://cryptocontrol.io/r/api/article/5f0c58810b40f100190b393e?ref=5f0df53922ee0f001886f52c,Analysis
