,publishedAt,title,words,description,url,primaryCategory
0,2020-07-13T21:39:43.000Z,"Bank of England exploring UK cryptocurrency, says governor Andrew Bailey",365,"A UK cryptocurrency could be a reality soon, reports The Bank of England’s governor, Andrew Bailey. In his latest statement, the governor said that the bank recently discussed the mechanisms of a probable UK cryptocurrency backed by the central bank. Central bank digital currencies, or CBDCs, are…",https://cryptocontrol.io/r/api/article/5f0cda340b40f100190f8796?ref=5f0df53922ee0f001886f52c,Exchanges
1,2020-07-13T20:00:12.000Z,It’s Now Or Never For XRP As Technical Indicators Highlight Pivotal Moment,375,"XRP, the fourth-ranked cryptocurrency in the space, has been among the industry’s worst performers. Yet investors in the asset still hold out hope for a repeat of the massive pumps Ripple is known for. Key indicators reveal that the asset has reached a pivotal moment where a decision must be made.…",https://cryptocontrol.io/r/api/article/5f0cc5ab0b40f100190ef026?ref=5f0df53922ee0f001886f52c,Analysis
2,2020-07-13T19:22:51.000Z,Bitcoin Long Term Bullish Signal Confirms; Adoption is the Major...,448,"The market sentiments for Bitcoin seem bullish as the price is closed to $9,300. Prominent names and analysts have commented positively on the leading digital asset. Keith McCullough, the head of Hedgeye, said that Bitcoin is on the bullish trend and volatility is at a low position. He tweeted:…",https://cryptocontrol.io/r/api/article/5f0cc4a80b40f100190eef95?ref=5f0df53922ee0f001886f52c,General
3,2020-07-13T18:21:57.000Z,Institutional crypto traders: Huobi explains what’s driving up interest,221,"Interest in cryptocurrency has relatively risen amongst the institutions. Many cryptocurrency trading platforms have recorded an increasing number of institutional crypto traders. With Huobi exchange gaining about 40 percent institutional trading on its Futures market, the exchange recently shared…",https://cryptocontrol.io/r/api/article/5f0cda390b40f100190f87a0?ref=5f0df53922ee0f001886f52c,General
4,2020-07-13T16:35:19.000Z,Blockchain Bites: It's Never Been Harder to Mine Bitcoin - CoinDesk,1305,"Bitcoin's mining difficulty is at a record high, Singapore's CBDC may find commercial use and Chinese companies are going in on Filecoin.
",https://cryptocontrol.io/r/api/article/5f0caa120b40f100190e1948?ref=5f0df53922ee0f001886f52c,General
5,2020-07-13T16:30:22.000Z,"Ripple price spikes, will buyers clear $0.25?",367,"The Ripple price is–after days and weeks of consolidation, one of the top performers gauged by last week’s activity. Adding a ballpark 12 percent against both USD and BTC, momentum appears to be shifting. Pumping buyers’ expectations are supportive news released throughout last week. One Pay FX…",https://cryptocontrol.io/r/api/article/5f0ca4590b40f100190de6bd?ref=5f0df53922ee0f001886f52c,Analysis
6,2020-07-13T15:30:10.000Z,Covid-19 Forces Indians to Embrace Digital Payments but Country Still Lacks Crypto Regulation,2539,"The global pandemic Covid-19 is forcing Indians to resort to digital payment platforms when settling bills as well as paying for groceries. Before the Covid-19 outbreak, Indian citizens largely ignored a 2016 government decree that attempted to achieve the same, reports The Economic Times of India.…",https://cryptocontrol.io/r/api/article/5f0c90060b40f100190d2ed9?ref=5f0df53922ee0f001886f52c,General
7,2020-07-13T13:57:15.000Z,"Ripple Price Analysis: Following 10% Weekly Gains, XRP Bulls Battling to Defend An Important Support",525,"After gaining almost 10% over the past week, XRP bulls are currently battling to defend the important support at $0.20.
",https://cryptocontrol.io/r/api/article/5f0c6fd20b40f100190bfccb?ref=5f0df53922ee0f001886f52c,Analysis
8,2020-07-13T13:28:02.000Z,Ripple Founder Chris Larsen Moves Against Theft in San Francisco with $4 Million,462,"Ripple founder and Executive Chairman Chris Larsen is moving against theft, rubbery, and some other social decadence by funding the installation of surveillance cameras across San Francisco. The development comes as the Black Live Matter protests and calls for the defunding of police thicken. In…",https://cryptocontrol.io/r/api/article/5f0c6a2a0b40f100190bd34a?ref=5f0df53922ee0f001886f52c,General
9,2020-07-13T11:08:05.000Z,Ripple and Vechain Partnering via SBI Holdings- Is it True?,528,"SBI holdings, a financial services company, which has huge investments in Ripple(XRP) is making the headlines. Given the information being exploded about Ripple and Vechain partnering via SBI which is already using Ripple’s technology, the crypto community is expecting some great news in the coming…",https://cryptocontrol.io/r/api/article/5f0c4aeb0b40f100190ab839?ref=5f0df53922ee0f001886f52c,General
10,2020-07-13T09:00:50.000Z,"Bitcoin, Ether, and XRP Weekly Market Update July 13, 2020",975,The total crypto market cap added $11.1 billion to its value for the last seven days and now stands at $274.4 billion. The top 10 currencies were all green for the same period with ChainLink (LINK) and Cardano (ADA) leading the pack with 66.8 and 37 percent of gains respectively. By the time of…,https://cryptocontrol.io/r/api/article/5f0c33720b40f1001909f6a0?ref=5f0df53922ee0f001886f52c,General
11,2020-07-13T08:30:54.000Z,Cardano (ADA) Users Targeted as Latest in Series of Youtube ‘Giveaway’ Scams,382,"Previous giveaway scams have used BTC, ETH, XRP, and other cryptocurrencies, as well as cryptocurrency exchanges.",https://cryptocontrol.io/r/api/article/5f0c333e0b40f1001909f68c?ref=5f0df53922ee0f001886f52c,General
12,2020-07-13T06:12:18.000Z,Ripple Makes Efforts To Scale XRP Payment Products On A Global Scale,313,"Ripple has been making headlines a lot due to the firm’s multiple achievements. The San Francisco-based company has been making huge efforts to boost the complete XRP ecosystem and to also push the mainstream adoption of the digital asset XRP. Speaking of XRP, at the moment of writing this article,…",https://cryptocontrol.io/r/api/article/5f0c02df0b40f1001908a189?ref=5f0df53922ee0f001886f52c,Analysis
