,publishedAt,title,words,description,url,primaryCategory
0,2020-07-13T18:00:35.000Z,This Technical Indicator Shows Bitcoin is About to See Wild Volatility,476,"Bitcoin’s consolidation phase has persisted despite many analysts anticipating volatility during yesterday’s weekly candle close The crypto is still trading in the lower-$9,000 region and is showing few signs of garnering any strength Analysts are now noting that it could soon see some wild…",https://cryptocontrol.io/r/api/article/5f0cab2c0b40f100190e2760?ref=5f0df53922ee0f001886f52c,General
1,2020-07-13T16:00:14.000Z,Coinbase CEO explains why they sell blockchain analytics software to the U.S. secret service,504,"Coinbase was in the crosshairs over the weekend after SEC filings revealed the business licensed transactional information software to regulators.
",https://cryptocontrol.io/r/api/article/5f0cb8bf0b40f100190e9a89?ref=5f0df53922ee0f001886f52c,Blockchain
2,2020-07-13T16:00:00.000Z,Crypto exchange Cashaa loses $3.1 million worth bitcoins to hackers.,370,"The London-based cryptocurrency exchange Cashaa says it has lost 336 bitcoin to hackers. The crypto exchange has now ceased all crypto-related transactions, including withdrawals and deposits, as investigations into the breach get underway. In a tweet, crypto exchange Cashaa claimed that the hacker…",https://cryptocontrol.io/r/api/article/5f0c8d4f0b40f100190d14dc?ref=5f0df53922ee0f001886f52c,Exchanges
3,2020-07-13T15:52:47.000Z,Bitcoin Mining Difficulty Surges to a New All-Time High: BTC Price Still Stuck In Place,642,"Bitcoin went through a 10% difficulty adjustment, reaching a new all-time high. With hash rate also at its highest point, the question remains if BTC is primed for a bull run.
",https://cryptocontrol.io/r/api/article/5f0c8c1a0b40f100190d14c8?ref=5f0df53922ee0f001886f52c,Mining
4,2020-07-13T14:48:00.000Z,"Bitcoin Hash Ribbon Signal Confirms ‘Great Bull Run,’ Says Analyst",673,"The Hash Ribbon indicator has just gone off indicating the start of a “great bull run” for Bitcoin price, according to one market analyst.
According to a digital asset investment firm executive Charles Edwards, a “Hash Ribbon” buy signal has just gone off. The daily candle close of Bitcoin ( BTC )…",https://cryptocontrol.io/r/api/article/5f0c8f770b40f100190d25a4?ref=5f0df53922ee0f001886f52c,General
5,2020-07-13T21:01:31.000Z,Bitcoin Mining Difficulty Hits Record High Months After Halving,202,"According to data from BTC.com, the mining difficulty of Bitcoin is at an all-time high, two months after the king coin’s halving. At exactly 12:50 UTC today, the Bitcoin mining difficulty hit 17.35 trillion. Compared to the last report on June 30, it represents a 9.89% increase from 15.78 trillion.…",https://cryptocontrol.io/r/api/article/5f0cd82b0b40f100190f70bc?ref=5f0df53922ee0f001886f52c,Mining
6,2020-07-13T16:00:24.000Z,Compound Protocol Approves 40% Collateral Factor for Wrapped Bitcoin,420,"Wrapped Bitcoin (WBTC), an ERC-20 token that tracks the price of bitcoin (BTC) can now be used on DeFi protocol Compound (COMP) with a 40% collateral factor. WBTC Goes Live on Compound with 40% Collateral A community proposal floated by Compound holders in May 2020 has finally received the green…",https://cryptocontrol.io/r/api/article/5f0c9e720b40f100190daf74?ref=5f0df53922ee0f001886f52c,General
7,2020-07-13T06:00:34.000Z,CFTC to develop a holistic framework for digital currencies by 2024,412,"The CFTC has unveiled its strategic plan for 2020-2024. The plan includes creating a holistic framework to promote responsible innovation in digital assets. [...]
",https://cryptocontrol.io/r/api/article/5f0bfe6e0b40f10019087a9b?ref=5f0df53922ee0f001886f52c,Analysis
8,2020-07-13T13:54:14.000Z,Fidelity International Doubles Stake in Bitcoin Mining Firm Hut 8 - CoinDesk,296,"Billion-dollar fund manager Fidelity International is betting big on rebounding fortunes for the listed bitcoin miner Hut 8.
",https://cryptocontrol.io/r/api/article/5f0c72fe0b40f100190c23ec?ref=5f0df53922ee0f001886f52c,Mining
9,2020-07-13T11:11:22.000Z,Bitcoin (BTC) Volatility Drops as Market Takes a Breath,402,"For the past four days, Bitcoin has remained above $9,200 as a result of its weakness to resume upside range trading. In recent times, its volatility has dropped; this in effect has contributed to a massive surge of the altcoins in the last two months. Whenever Bitcoin is calm the altcoins will…",https://cryptocontrol.io/r/api/article/5f0c4bb40b40f100190abac9?ref=5f0df53922ee0f001886f52c,Analysis
10,2020-07-13T18:49:00.000Z,"Price Analysis 7/13: BTC, ETH, XRP, BCH, ADA, BSV, BNB, LTC, CRO, LINK",1585,"Equities markets are surging and many altcoins continue to push higher as Bitcoin price consolidates into a tight trading range.
The Nasdaq has regularly been making new highs for the past few days, which has resulted in a strong rally in a few technology companies. Along with this, a few stocks in…",https://cryptocontrol.io/r/api/article/5f0cc55f0b40f100190eeff1?ref=5f0df53922ee0f001886f52c,Analysis
11,2020-07-13T17:08:58.000Z,Will Tezos Be the Altcoin to Unseat Ethereum on the Crypto Market?,359,"Ever since its then-record $232 million ICO (initial coin offering) back in 2017, Tezos (XTZ) has earned a justifiable amount of buzz in the crypto world. But does the Swiss-US joint venture have legs? First off, it’s important to understand what makes Tezos stand out among the thousands of…",https://cryptocontrol.io/r/api/article/5f0caa8d0b40f100190e2711?ref=5f0df53922ee0f001886f52c,General
12,2020-07-13T16:43:48.000Z,Biggest Brazilian Exchange Mercado Bitcoin Adds Support for Sports Token Chiliz...,386,"The largest cryptocurrency exchange in Brazil Mercado Bitcoin has announced to list a sports token known as Chiliz (CHZ). According to the announcement made on July 13, 2020, by Chiliz the leading blockchain fintech provider for sports, it is the first listing of Chiliz’s CHZ token on this major…",https://cryptocontrol.io/r/api/article/5f0ca98d0b40f100190e1697?ref=5f0df53922ee0f001886f52c,Exchanges
13,2020-07-13T16:19:00.000Z,Chainlink (LINK) Becomes the ‘Tesla’ of Cryptocurrency — What’s Next?,905,"Chainlink overshot the previous bullish target hitting a new all-time high of $8.40, but how much higher can LINK price really go?
As Bitcoin ( BTC ) price continues to trade in a tightening range, the altcoin market has been pushing higher each week, and the most recent surge has come from…",https://cryptocontrol.io/r/api/article/5f0c8f4f0b40f100190d2579?ref=5f0df53922ee0f001886f52c,General
