,publishedAt,title,words,description,url,primaryCategory
0,2020-07-13T20:00:42.000Z,It’s a Critical Moment for Ethereum; Here’s the “Do or Die” Level to Watch,445,"Ethereum has been flashing mixed signs to investors throughout the past several days and weeks After seeing some turbulence yesterday, it is now showing some relative signs of strength as it trades near the upper boundary of its long-established trading range Analysts are now noting that it is…",https://cryptocontrol.io/r/api/article/5f0cc63a0b40f100190ef2d3?ref=5f0df53922ee0f001886f52c,General
1,2020-07-13T16:00:14.000Z,Coinbase CEO explains why they sell blockchain analytics software to the U.S. secret service,504,"Coinbase was in the crosshairs over the weekend after SEC filings revealed the business licensed transactional information software to regulators.
",https://cryptocontrol.io/r/api/article/5f0cb8bf0b40f100190e9a89?ref=5f0df53922ee0f001886f52c,Blockchain
2,2020-07-13T16:00:00.000Z,Crypto exchange Cashaa loses $3.1 million worth bitcoins to hackers.,370,"The London-based cryptocurrency exchange Cashaa says it has lost 336 bitcoin to hackers. The crypto exchange has now ceased all crypto-related transactions, including withdrawals and deposits, as investigations into the breach get underway. In a tweet, crypto exchange Cashaa claimed that the hacker…",https://cryptocontrol.io/r/api/article/5f0c8d4f0b40f100190d14dc?ref=5f0df53922ee0f001886f52c,Exchanges
3,2020-07-13T15:52:47.000Z,Bitcoin Mining Difficulty Surges to a New All-Time High: BTC Price Still Stuck In Place,642,"Bitcoin went through a 10% difficulty adjustment, reaching a new all-time high. With hash rate also at its highest point, the question remains if BTC is primed for a bull run.
",https://cryptocontrol.io/r/api/article/5f0c8c1a0b40f100190d14c8?ref=5f0df53922ee0f001886f52c,Mining
4,2020-07-13T14:48:00.000Z,"Bitcoin Hash Ribbon Signal Confirms ‘Great Bull Run,’ Says Analyst",673,"The Hash Ribbon indicator has just gone off indicating the start of a “great bull run” for Bitcoin price, according to one market analyst.
According to a digital asset investment firm executive Charles Edwards, a “Hash Ribbon” buy signal has just gone off. The daily candle close of Bitcoin ( BTC )…",https://cryptocontrol.io/r/api/article/5f0c8f770b40f100190d25a4?ref=5f0df53922ee0f001886f52c,General
5,2020-07-13T21:01:31.000Z,Bitcoin Mining Difficulty Hits Record High Months After Halving,202,"According to data from BTC.com, the mining difficulty of Bitcoin is at an all-time high, two months after the king coin’s halving. At exactly 12:50 UTC today, the Bitcoin mining difficulty hit 17.35 trillion. Compared to the last report on June 30, it represents a 9.89% increase from 15.78 trillion.…",https://cryptocontrol.io/r/api/article/5f0cd82b0b40f100190f70bc?ref=5f0df53922ee0f001886f52c,Mining
6,2020-07-13T16:00:24.000Z,Compound Protocol Approves 40% Collateral Factor for Wrapped Bitcoin,420,"Wrapped Bitcoin (WBTC), an ERC-20 token that tracks the price of bitcoin (BTC) can now be used on DeFi protocol Compound (COMP) with a 40% collateral factor. WBTC Goes Live on Compound with 40% Collateral A community proposal floated by Compound holders in May 2020 has finally received the green…",https://cryptocontrol.io/r/api/article/5f0c9e720b40f100190daf74?ref=5f0df53922ee0f001886f52c,General
7,2020-07-13T06:00:34.000Z,CFTC to develop a holistic framework for digital currencies by 2024,412,"The CFTC has unveiled its strategic plan for 2020-2024. The plan includes creating a holistic framework to promote responsible innovation in digital assets. [...]
",https://cryptocontrol.io/r/api/article/5f0bfe6e0b40f10019087a9b?ref=5f0df53922ee0f001886f52c,Analysis
8,2020-07-13T13:54:14.000Z,Fidelity International Doubles Stake in Bitcoin Mining Firm Hut 8 - CoinDesk,296,"Billion-dollar fund manager Fidelity International is betting big on rebounding fortunes for the listed bitcoin miner Hut 8.
",https://cryptocontrol.io/r/api/article/5f0c72fe0b40f100190c23ec?ref=5f0df53922ee0f001886f52c,Mining
9,2020-07-13T11:11:22.000Z,Bitcoin (BTC) Volatility Drops as Market Takes a Breath,402,"For the past four days, Bitcoin has remained above $9,200 as a result of its weakness to resume upside range trading. In recent times, its volatility has dropped; this in effect has contributed to a massive surge of the altcoins in the last two months. Whenever Bitcoin is calm the altcoins will…",https://cryptocontrol.io/r/api/article/5f0c4bb40b40f100190abac9?ref=5f0df53922ee0f001886f52c,Analysis
10,2020-07-13T18:49:00.000Z,"Price Analysis 7/13: BTC, ETH, XRP, BCH, ADA, BSV, BNB, LTC, CRO, LINK",1585,"Equities markets are surging and many altcoins continue to push higher as Bitcoin price consolidates into a tight trading range.
The Nasdaq has regularly been making new highs for the past few days, which has resulted in a strong rally in a few technology companies. Along with this, a few stocks in…",https://cryptocontrol.io/r/api/article/5f0cc55f0b40f100190eeff1?ref=5f0df53922ee0f001886f52c,Analysis
11,2020-07-13T17:08:58.000Z,Will Tezos Be the Altcoin to Unseat Ethereum on the Crypto Market?,359,"Ever since its then-record $232 million ICO (initial coin offering) back in 2017, Tezos (XTZ) has earned a justifiable amount of buzz in the crypto world. But does the Swiss-US joint venture have legs? First off, it’s important to understand what makes Tezos stand out among the thousands of…",https://cryptocontrol.io/r/api/article/5f0caa8d0b40f100190e2711?ref=5f0df53922ee0f001886f52c,General
12,2020-07-13T16:43:48.000Z,Biggest Brazilian Exchange Mercado Bitcoin Adds Support for Sports Token Chiliz...,386,"The largest cryptocurrency exchange in Brazil Mercado Bitcoin has announced to list a sports token known as Chiliz (CHZ). According to the announcement made on July 13, 2020, by Chiliz the leading blockchain fintech provider for sports, it is the first listing of Chiliz’s CHZ token on this major…",https://cryptocontrol.io/r/api/article/5f0ca98d0b40f100190e1697?ref=5f0df53922ee0f001886f52c,Exchanges
13,2020-07-13T16:19:00.000Z,Chainlink (LINK) Becomes the ‘Tesla’ of Cryptocurrency — What’s Next?,905,"Chainlink overshot the previous bullish target hitting a new all-time high of $8.40, but how much higher can LINK price really go?
As Bitcoin ( BTC ) price continues to trade in a tightening range, the altcoin market has been pushing higher each week, and the most recent surge has come from…",https://cryptocontrol.io/r/api/article/5f0c8f4f0b40f100190d2579?ref=5f0df53922ee0f001886f52c,General
14,2020-07-12T21:04:43.000Z,"On-Chain Data Reveals the Key Reason Behind Cardano (ADA), Kyber Network (KNC), Zilliqa (ZIL) Explosive Bull Run, Here’s More to Expect",643,"Altcoins, the general name for alternative cryptocurrencies apart from Bitcoin have been in the spotlight in the last few weeks. Since many crypto assets in this category have embarked on insanely parabolic uptrends while Bitcoin, the ring leader of the crypto market remained stuck in its…",https://cryptocontrol.io/r/api/article/5f0b818e0b40f1001904a708?ref=5f0df53922ee0f001886f52c,Blockchain
15,2020-07-13T16:12:45.000Z,Bitcoin could fall behind Ethereum due to DeFi,422,Some analysts have speculated on whether Ethereum will start to overtake Bitcoin due to the emerging DeFi market,https://cryptocontrol.io/r/api/article/5f0c8fb60b40f100190d2eb5?ref=5f0df53922ee0f001886f52c,General
16,2020-07-13T15:30:00.000Z,STABLECOINS WILL FINALLY PROMOTE MAINSTREAM CRYPTOCURRENCY ADOPTION,282,"Last week, there was a round of excitement throughout the Cardano community as it became the sixth biggest crypto assets by market capitalisation. Ryan Seliks...
",https://cryptocontrol.io/r/api/article/5f0c806a0b40f100190ca478?ref=5f0df53922ee0f001886f52c,General
17,2020-07-13T15:39:00.000Z,SEC and CFTC Fine Crypto Investment App for Offering Synthetic Assets,360,"U.S. regulators team up to fine and halt a crypto portfolio app offering synthetic exposure to traditional assets, which was not offered to U.S. investors.
The Securities and Exchange Commission and Commodity Futures Trading Commission issued a joint fine to Abra, a crypto portfolio app that let…",https://cryptocontrol.io/r/api/article/5f0c8f5c0b40f100190d258f?ref=5f0df53922ee0f001886f52c,Exchanges
18,2020-07-12T20:26:42.000Z,Crypto Regulation has now Become Necessary Thing for Crypto Adoption and...,499,"Cryptocurrency has been in the finance world for ten years, and during this period, crypto assets have gained attention from finance giants as well as institutional investors. After ten years of its creation, the governments have now taken serious notice of cryptocurrency regulation. Due to the…",https://cryptocontrol.io/r/api/article/5f0c22be0b40f100190989d4?ref=5f0df53922ee0f001886f52c,General
19,2020-07-13T21:39:43.000Z,"Bank of England exploring UK cryptocurrency, says governor Andrew Bailey",365,"A UK cryptocurrency could be a reality soon, reports The Bank of England’s governor, Andrew Bailey. In his latest statement, the governor said that the bank recently discussed the mechanisms of a probable UK cryptocurrency backed by the central bank. Central bank digital currencies, or CBDCs, are…",https://cryptocontrol.io/r/api/article/5f0cda340b40f100190f8796?ref=5f0df53922ee0f001886f52c,Exchanges
20,2020-07-13T21:36:06.000Z,"Black wealth must ‘exit to Bitcoin,’ says author Isaiah Jackson",459,"Isaiah Jackson joins the Decrypt Daily podcast to explain how Bitcoin can benefit the black community and help create leverage against the current US financial system.
",https://cryptocontrol.io/r/api/article/5f0cd8c90b40f100190f70dd?ref=5f0df53922ee0f001886f52c,General
21,2020-07-13T21:16:11.000Z,"Rolls-Royce, Gucci-flaunting scammers caught after FBI analyzes Bitcoin trail",546,"Two Nigerian scammers were held last week after hatching an elaborate fraud to steal “$435 million around the world” using illicit emails, luxury brand showoffs, and Bitcoin.
",https://cryptocontrol.io/r/api/article/5f0cd4240b40f100190f4750?ref=5f0df53922ee0f001886f52c,General
22,2020-07-13T21:05:03.000Z,Ethereum tokens are now more valuable than ETH itself,459,"The BUIDL philosophy appears to be working, as the combined market cap of ERC20 tokens built on Ethereum has surpassed the network’s native ETH.
",https://cryptocontrol.io/r/api/article/5f0cd8cc0b40f100190f70de?ref=5f0df53922ee0f001886f52c,ICO
23,2020-07-13T21:00:16.000Z,Bitcoin SV short-term price analysis: 13 July,396,"Bitcoin SV, the persistent hardfork of a hardfork of Bitcoin has now become a mainstay in the top-10 coins in the cryptocurrency market. Currently placed on the eighth spot with a market capitalizatio
",https://cryptocontrol.io/r/api/article/5f0cd3e70b40f100190f472d?ref=5f0df53922ee0f001886f52c,Analysis
