,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,winTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
0,SMACross,5,10,-0.4266,43.6326,130,39,91,0.3,179.6129,-115.139,2,14,-1.56,533.0,1.0,366.0,52.0,238.0
1,SMACross,5,11,-0.3949,39.7296,126,39,87,0.3095,167.4799,-112.58,3,7,-1.4877,531.0,10.0,323.0,42.0,226.5
2,SMACross,5,12,-0.3053,35.8093,111,34,77,0.3063,192.6618,-119.2406,3,12,-1.6157,519.0,70.0,338.0,67.0,248.5
3,SMACross,5,13,-0.3246,37.5877,103,34,68,0.3301,203.4041,-139.7284,3,11,-1.4557,523.0,36.0,219.0,30.0,202.0
4,SMACross,5,14,-0.3642,39.2423,98,29,68,0.2959,232.6117,-142.0268,2,9,-1.6378,527.0,13.0,387.0,74.0,250.25
5,SMACross,5,15,-0.3126,37.6267,86,27,58,0.314,256.0075,-162.9094,2,6,-1.5715,520.0,35.0,288.0,57.0,225.0
6,SMACross,5,16,-0.3126,42.3727,82,25,56,0.3049,281.3102,-170.3654,4,10,-1.6512,521.0,2.0,347.0,80.0,237.5
7,SMACross,5,17,-0.3003,41.0514,76,25,50,0.3289,259.5355,-177.8358,3,11,-1.4594,518.0,7.0,220.5,31.0,194.125
8,SMACross,5,18,-0.1519,35.5961,72,23,49,0.3194,275.539,-158.0946,3,11,-1.7429,457.0,74.0,260.5,111.0,225.625
9,SMACross,5,19,-0.159,35.4136,67,21,45,0.3134,324.6278,-179.5707,4,10,-1.8078,463.0,82.0,289.0,131.0,241.25
10,SMACross,5,20,-0.169,34.6235,67,22,44,0.3284,295.5359,-178.1731,4,9,-1.6587,474.0,106.0,222.0,82.0,221.0
11,SMACross,5,21,0.0658,23.093,63,21,41,0.3333,337.1857,-149.4019,3,9,-2.2569,164.0,398.0,204.0,338.0,276.0
12,SMACross,5,22,0.0043,26.7727,62,21,40,0.3387,308.4515,-154.3918,4,11,-1.9978,274.0,320.0,187.0,208.0,247.25
13,SMACross,5,23,0.0345,27.6161,59,20,39,0.339,322.0813,-156.1734,4,9,-2.0623,231.0,297.0,184.0,240.0,238.0
14,SMACross,5,24,0.0012,27.3862,57,18,39,0.3158,345.4318,-159.1306,4,10,-2.1707,281.0,301.0,277.0,296.0,288.75
15,SMACross,5,25,-0.0484,27.4188,53,16,36,0.3019,342.0385,-168.5395,2,10,-2.0294,353.0,300.0,359.0,222.0,308.5
16,SMACross,5,26,-0.169,35.4646,56,16,39,0.2857,336.0044,-180.5105,2,11,-1.8614,475.0,80.0,436.5,158.0,287.375
17,SMACross,5,27,-0.1666,36.215,54,17,37,0.3148,319.1416,-188.1001,2,11,-1.6967,469.0,57.0,283.0,95.0,226.0
18,SMACross,5,28,-0.1233,34.8807,52,17,35,0.3269,330.638,-193.7407,2,10,-1.7066,428.0,99.0,227.5,99.0,213.375
19,SMACross,5,29,-0.0955,34.73,50,15,35,0.3,378.3852,-188.1893,2,9,-2.0107,402.0,104.0,366.0,217.0,272.25
20,SMACross,5,30,-0.0879,34.0675,52,14,37,0.2692,381.8423,-170.4111,2,9,-2.2407,393.0,122.0,485.0,332.0,333.0
21,SMACross,5,31,-0.0753,32.6385,51,14,36,0.2745,374.9915,-169.299,2,9,-2.215,384.0,170.0,470.0,316.0,335.0
22,SMACross,5,32,-0.0573,33.3563,50,14,35,0.28,380.7758,-171.691,2,10,-2.2178,365.0,148.0,455.5,319.0,321.875
23,SMACross,5,33,-0.0008,30.1589,48,15,32,0.3125,372.8708,-177.7797,4,9,-2.0974,288.0,231.0,299.5,264.0,270.625
24,SMACross,5,34,0.0042,30.0486,48,14,33,0.2917,390.1265,-166.9316,2,10,-2.337,275.0,235.0,409.0,387.0,326.5
25,SMACross,5,35,-0.0879,32.8079,49,15,33,0.3061,336.6106,-180.9659,4,10,-1.8601,394.0,165.0,341.0,157.0,264.25
26,SMACross,5,36,-0.0249,31.3591,48,13,34,0.2708,435.1425,-176.1421,2,9,-2.4704,321.0,202.0,476.5,442.0,360.375
